trip1, sequence1, lat, long, trip2, sequence2, lat2,long2
2,56,19.5363021032,-99.0272574687,527,13333,19.5362879146,-99.0272574687
10,14297,19.2979352,-99.1515878,427,10840,19.2979352,-99.1515878
583,15399,19.4576874967,-99.2146604163,308,7977,19.4576222916,-99.2146604163
624,16055,19.3574289223,-99.0861924831,611,15678,19.3574718612,-99.0861924831
259,6744,19.424842661,-99.0338549391,332,14365,19.4248283098,-99.0338549391
66,1790,19.4583466,-99.2143752,89,2336,19.4583974427,-99.2143752
325,8403,19.2995923902,-99.1457954057,123,3128,19.2995652278,-99.1457954057
273,7124,19.4169636489,-99.0989439936,359,9161,19.4169463397,-99.0989439936
84,2252,19.4009494393,-99.1367540204,19,555,19.4008610588,-99.1367540204
100,2639,19.418216648,-99.0929021044,42,1161,19.4182586561,-99.0929021044
310,10821,19.4820968872,-99.0738769016,122,10236,19.4821122915,-99.0738769016
79,9297,19.3722867584,-99.097517717,613,15695,19.3722848235,-99.097517717
541,13744,19.3006400009,-99.1134002022,160,4141,19.3006198176,-99.1134002022
162,4223,19.3030491363,-99.1859942492,307,7935,19.3030483782,-99.1859942492
